@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.820496,-0.111111,-0.333333,-0.321837,0.392474,-0.966267,-0.963581,0.452632,-0.581028,-0.924723,NON_ULCER
-0.325975,0.269841,0.051282,0.021453,0.350235,-0.984435,-0.988758,0.389474,-0.44664,-0.956289,NON_ULCER
-0.646943,-0.079365,-0.179487,-0.194559,0.503213,-0.984281,-0.990014,0.410526,-0.549407,-0.967383,NON_ULCER
-0.360626,0.174603,0.051282,-0.069731,0.452879,-0.989149,-0.995729,0.452632,-0.509881,-0.975848,NON_ULCER
0.014016,0.047619,-0.102564,0.148027,0.48518,-0.979711,-0.995706,0.536842,-0.391304,-0.804402,NON_ULCER
-0.119816,0.079365,-0.076923,0.075477,0.490237,-0.987722,-0.995305,0.536842,-0.43083,-0.9214,NON_ULCER
-0.873178,-0.206349,-0.435897,-0.279053,0.34028,-0.828596,-0.822343,0.178947,-0.644269,-0.936398,NON_ULCER
-0.512562,0.015873,-0.102564,-0.11866,0.494354,-0.98861,-0.998399,0.536842,-0.525692,-0.985491,NON_ULCER
0.003346,0.015873,-0.153846,0.134686,0.519821,-0.994043,-0.998065,0.536842,-0.407115,-0.901709,NON_ULCER
-0.054921,0.047619,-0.076923,0.089932,0.51272,-0.997756,-0.998846,0.536842,-0.422925,-0.920614,NON_ULCER
-0.232539,0.206349,0.051282,0.032921,0.426046,-0.982886,-0.987309,0.452632,-0.422925,-0.862385,NON_ULCER
-0.928925,-0.52381,-0.641026,-0.12564,0.501016,-0.863619,-0.936361,0.663158,-0.41502,-0.946844,NON_ULCER
0.216295,-0.079365,-0.25641,0.213546,0.553875,-0.995721,-0.998188,0.578947,-0.367589,-0.920687,NON_ULCER
-0.424617,0.015873,-0.102564,-0.081822,0.524227,-0.997291,-0.998781,0.536842,-0.501976,-0.980813,NON_ULCER
-0.486031,0.428571,0.230769,-0.117874,0.270303,-0.970955,-0.987322,0.305263,-0.525692,-0.947253,NON_ULCER
0.200159,-0.079365,-0.230769,0.170725,0.585197,-0.995244,-0.996479,0.6,-0.383399,-0.900433,NON_ULCER
-0.265427,0.015873,-0.051282,-0.022498,0.52626,-0.992778,-0.997512,0.557895,-0.478261,-0.978489,NON_ULCER
-0.784066,-0.206349,-0.410256,-0.132152,0.485379,-0.986641,-0.995338,0.515789,-0.525692,-0.980523,NON_ULCER
-0.034366,0.047619,-0.076923,0.086759,0.52528,-0.995273,-0.997983,0.536842,-0.422925,-0.949842,NON_ULCER
-0.308723,0.015873,-0.076923,-0.039533,0.542179,-0.995655,-0.99901,0.557895,-0.486166,-0.979166,NON_ULCER
0.03653,-0.015873,-0.128205,0.103763,0.547726,-0.993937,-0.997299,0.578947,-0.41502,-0.920876,NON_ULCER
-0.241456,0.015873,-0.025641,-0.009732,0.525643,-0.994585,-0.998168,0.557895,-0.470356,-0.981492,NON_ULCER
-0.68238,-0.142857,-0.333333,-0.124635,0.491728,-0.994401,-0.993587,0.515789,-0.533597,-0.976017,NON_ULCER
