@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-40,42-50,52-76,79-84,86-106,108-119,121-125,127-145,148-158,160-186'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_v_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_luv_u_correlation numeric
@attribute haralick_bgr_gr_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.308642,0.212121,0.072257,-0.968963,-0.986834,0.106061,-0.926223,0.284559,-0.469147,-0.40434,-0.881016,0.801345,NON_ULCER
0.144033,0.272727,0.129507,-0.988205,-0.985258,-0.030303,-0.962848,-0.338114,-0.708923,-0.727447,-0.891481,0.660399,NON_ULCER
0.135802,0.151515,0.167336,-0.983122,-0.997313,0.015152,-0.974864,0.067705,-0.578298,-0.561793,-0.921777,0.79194,NON_ULCER
0.259259,0.151515,0.020108,-0.98061,-0.994897,0.090909,-0.971429,0.244655,-0.526793,-0.481894,-0.922062,0.719682,NON_ULCER
0.358025,0.121212,0.014929,-0.986007,-0.992078,0.106061,-0.913172,0.088353,-0.484022,-0.394498,-0.849458,0.767607,NON_ULCER
0.176955,0.30303,0.123188,-0.991296,-0.993924,0,-0.974995,-0.372657,-0.768551,-0.772439,-0.933301,0.744598,NON_ULCER
0.119342,0,0.246669,-0.988542,-0.997888,-0.030303,-0.990319,0.067337,-0.61657,-0.598447,-0.949711,0.761009,NON_ULCER
0.135802,0.151515,0.16876,-0.975938,-0.991752,0.015152,-0.98041,-0.155523,-0.693403,-0.700185,-0.926582,0.661774,NON_ULCER
0.218107,0.181818,0.022428,-0.983542,-0.992047,0.106061,-0.961918,0.276102,-0.473865,-0.395591,-0.892866,0.764413,NON_ULCER
0.144033,0,0.272698,-0.99771,-0.998269,-0.030303,-0.989151,0.132081,-0.610042,-0.576256,-0.958221,0.712204,NON_ULCER
0.152263,0.090909,0.227401,-0.986744,-0.995986,-0.045455,-0.977024,0.094644,-0.579834,-0.575812,-0.935866,0.808427,NON_ULCER
0.144033,0.090909,0.20092,-0.979898,-0.990555,-0.045455,-0.868442,0.034102,-0.578934,-0.561735,-0.846527,0.696897,NON_ULCER
0.316872,0.121212,0.051577,-0.987735,-0.996501,0.090909,-0.982232,0.149962,-0.542104,-0.472852,-0.927396,0.624451,NON_ULCER
-0.152263,-0.030303,-0.02347,-0.968862,-0.970281,0.045455,-0.481805,-0.483475,-0.825325,-0.824551,-0.899462,0.740175,ULCER
-0.053498,0.090909,-0.028235,-0.972408,-0.988911,0.106061,-0.892932,-0.609875,-0.896844,-0.900118,-0.93326,0.695162,ULCER
0.111111,-0.30303,-0.176057,-0.995978,-0.998676,0.257576,-0.639999,0.177974,-0.586458,-0.474171,-0.914285,0.793072,ULCER
-0.144033,0.090909,-0.043295,-0.975017,-0.984412,0.121212,-0.90071,-0.340946,-0.793748,-0.822873,-0.908787,0.686283,ULCER
0.300412,-0.333333,-0.191369,-0.998415,-0.998659,0.272727,-0.912951,-0.662903,-0.93438,-0.86701,-0.972473,0.707795,ULCER
0.242798,-0.242424,-0.099631,-0.994253,-0.994755,0.212121,-0.38594,0.202638,-0.54971,-0.421602,-0.909154,0.681082,ULCER
0.069959,-0.030303,0.024487,-0.977082,-0.977919,0.166667,-0.683932,0.052098,-0.573762,-0.48669,-0.89311,0.767477,ULCER
0.234568,-0.333333,-0.111865,-0.989142,-0.988765,0.136364,-0.674647,0.019682,-0.657627,-0.530694,-0.909765,0.788337,ULCER
0.325103,-0.272727,-0.134047,-0.989112,-0.994469,0.242424,-0.519153,0.500195,-0.399057,-0.157556,-0.860697,0.817426,ULCER
0.341564,-0.212121,-0.101247,-0.997541,-0.996183,0.227273,-0.779641,-0.285803,-0.784392,-0.637701,-0.948367,0.735693,ULCER
0.119342,0.030303,0.060141,-0.977299,-0.983778,0.060606,-0.797499,0.027962,-0.598653,-0.525319,-0.908421,0.781916,ULCER
-0.061728,-0.060606,-0.047847,-0.980111,-0.988953,0.151515,-0.724199,-0.155171,-0.714726,-0.687217,-0.92703,0.760992,ULCER
0.489712,-0.090909,0.020872,-0.989525,-0.994464,0.166667,-0.655221,0.109883,-0.586866,-0.345343,-0.904145,0.680901,ULCER
0.037037,-0.151515,0.087033,-0.986076,-0.989328,0.106061,-0.75458,0.012723,-0.611331,-0.537439,-0.898607,0.739457,ULCER
0.078189,-0.151515,0.014968,-0.971105,-0.976075,0.075758,-0.682278,0.272506,-0.415496,-0.352591,-0.815946,0.735299,ULCER
0.399177,-0.242424,-0.016477,-0.993999,-0.997201,0.19697,-0.758849,-0.338656,-0.807325,-0.674986,-0.928496,0.667991,ULCER
0.160494,-0.030303,0.005111,-0.990177,-0.995763,0.136364,-0.775611,0.013516,-0.646525,-0.549663,-0.926134,0.772123,ULCER
